name,ring,quadrant,isNew,description
Citrix VDI,Hold,Platforms,FALSE,<p> Citrix Virtual desktop infrastructure (VDI) is put on Hold and will be superseeded by PwC Global VDI</p>
SAP,Hold,Platforms,FALSE,<p>SAP Data and Application platform is put on Hold waiting on EM-FI</p>
Application Virtualisation (Citrix),Hold,Platforms,FALSE,<p>Application Virtualisation should be managed through PwC Global VDI project - application virtualisation not preferred vs desktop virtualisation</p>
Windows File share Services,Hold,Platforms,FALSE,<p>Windows file shares should be avoided and Azure Blob Storage or Google Drive used instead</p>
Oracle db,Hold,Platforms,FALSE,"<p>Orcale DB is not preferred, use Azure SQL Database</p>"
Azure Service Fabric,Hold,Platforms,FALSE,<p>Azure Service Fabric is being decomissioned by Microsoft and should not be used</p>
Azure Visolit Tenant,Hold,Platforms,FALSE,<p>Azure tenant provided and managed by Visolit</p>
SOAP,Hold,Techniques,TRUE,<p>An older chatier protocoll for APIs. REST should be used instead.</p>
AMS(Visolit),Hold,Tools,FALSE,<p>Visolit assetmanagement system - replaced by servicenow asset management</p>
IE11,Hold,Tools,FALSE,"<p>On August 17, 2020, Microsoft published a timeline indicating that Microsoft Teams will stop supporting Internet Explorer 11 on November 30, 2020 whereas Microsoft 365 products will end Internet Explorer 11 support on August 17, 2021.</p>"
SSAS - Dimensional Cubes,Hold,Tools,FALSE,"<p>SSAS (SQL Server Analysis Services) has two variants, Multidimensional and Tabular. Multidimensional is the older and is not supported in Azure. </p>"
Slack,Hold,Tools,FALSE,"<p>Chat-tool, liked by developers, but not approved for business use by PwC, Google chat should be preferrd to use</p>"
MongoDB,Hold,Tools,FALSE,"<p>MongoDB is a cross-platform document-oriented database program. Classified as a NoSQL database program, MongoDB uses JSON-like documents with optional schemas. MongoDB is developed by MongoDB Inc. and licensed under the Server Side Public License. Perfer CosmosDB for document database needs.</p>"
Qlik Sense,Hold,Tools,FALSE,<p>Data Visualization tool - similar capabilities to Power BI</p>
Tableau,Hold,Tools,FALSE,<p>Data Visualization tool - similar capabilities to Power BI</p>
Cisco Smart Meeting,Hold,Tools,FALSE,"<p>Cisco Meeting Server brings premises-based video, audio, and web communication together to meet the collaboration needs of the modern workplace. It works with third-party devices, and provides an enjoyable and intuitive user experience. Prefer Google Meet</p>"
Edge browser,Hold,Tools,FALSE,"<p>Edge is available on the windows 10 operating system, however we don't recommend to use this browser for teams as it would double thier need to test against other browsers..</a></p>"
Visual Studio Versions before 2019,Hold,Tools,TRUE,"<p>Dont use versions prior to Visual Studio 2019. IDE for writing code for the microsoft ecosystem. important to follow versions as compiler versions can differ between viisualstudio versions.<a href=""https://visualstudio.microsoft.com/"">Visual Studio</a></p>"
